RRUFFID,normalized_formula_df_rruff,normalized_formula_df_cod,composition_df,cod_id
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1011337
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",9000253
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",9011414
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",4329107
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",4329108
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",4329109
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1509708
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1509709
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1509710
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",7221650
R080016,Ag2S,Ag2S,"{'Ag': 2.0, 'S': 1.0}",1544685
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R040130,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R050020,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9015676
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544636
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544637
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544680
R060593,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1544681
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",1010925
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9000521
R050582,Zn2AsO4OH,AsHO5Zn2,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}",9004101
