RRUFFID,CODID,RMSE
R080016,1011337,7.711274564124983
R080016,9000253,7.825533523586778
R080016,9011414,7.79576240116848
R080016,4329107,7.854960641300082
R080016,4329108,7.821281099183991
R080016,4329109,8.049360059819293
R080016,1509708,7.730063058696503
R080016,1509709,7.751954035174019
R080016,1509710,7.818674248233542
R080016,7221650,7.719994721911852
R080016,1544685,7.822504849016406
R040130,1010925,6.2425045526337835
R040130,9000521,6.21666564265935
R040130,9004101,6.22588847173137
R040130,9015676,6.780505650931398
R040130,1544636,6.6620679471067135
R040130,1544637,6.7819829680499035
R040130,1544680,6.560697867014091
R040130,1544681,6.790972667179173
R050020,1010925,7.195729933519212
R050020,9000521,7.086099613998936
R050020,9004101,7.131983019870216
R050020,9015676,7.552745746702852
R050020,1544636,7.473080317756181
R050020,1544637,7.544214266965319
R050020,1544680,7.3589454621645
R050020,1544681,7.578239248988231
R060593,1010925,8.116052965326396
R060593,9000521,8.064269792604408
R060593,9004101,8.060470672693269
R060593,9015676,8.390966531435039
R060593,1544636,8.22541756144101
R060593,1544637,8.40181046730359
R060593,1544680,8.09308922662996
R060593,1544681,8.397284844442995
R050582,1010925,6.911645355639634
R050582,9000521,6.8984022504035565
R050582,9004101,6.886669016065251
R050582,9015676,6.471359713331419
R050582,1544636,6.917716804339776
R050582,1544637,6.903399846364373
R050582,1544680,6.964612160289119
R050582,1544681,6.702704918929295
R040054,9000327,5.874055192415347
R040054,9000328,6.040311790563069
R040054,9000329,6.124127797491811
R040054,9000330,6.133535432087073
R040054,9003408,6.191657246083638
R040054,9005438,5.88551766819698
R040054,9005439,5.881072821764778
R040054,9010094,5.885536319035133
R040054,9010095,5.885349427490312
R040054,9010326,5.836496727844484
R040054,9013272,5.884932916629724
R040054,9013273,6.117594943602145
R040054,9013274,6.150454401402037
R040054,9013275,6.170645133862735
R040054,9013276,6.158188951843627
R040054,9013277,6.066242322873024
R040054,9013278,6.071043949105736
R040054,9013279,6.140492274286948
R050074,9000327,3.6178196875259947
R050074,9000328,3.615930077998879
R050074,9000329,3.743831222071826
R050074,9000330,3.7638131150313847
R050074,9003408,3.8995204596873947
R050074,9005438,3.627836221969951
R050074,9005439,3.6032608592400335
R050074,9010094,3.625063205415905
R050074,9010095,3.6254221664379345
